CDDL-1.0,4,0,7,11
MIY,0,0,2,2
VestaL1,0,0,1,1
MOT,0,0,20,20
Fair License (http://fairlicense.org/),0,0,3,3
BSD_3_clause+ fileLICENSE|GPL-2,0,1,0,1
Apache-2.0 and proprietary,0,0,12,12
CC BY-NC 4.0 license,0,0,5,5
GMR,1,0,0,1
PHP-3.01,0,0,5,5
Custom license (read license.pdf),0,0,3,3
2.0,3,0,31,34
AGPL-3.0,504,0,5775,6279
freemium,0,0,12,12
LGPL (&ge; 3)| fileLICENSE,0,3,0,3
Prashanth C,1,0,0,1
MTT,0,0,13,13
Copyright Tabcorp Pty Ltd 2014,0,0,14,14
iAdvize,0,0,18,18
none (public domain),0,0,1,1
APACHE-2.0,36,0,97,133
GYF,7,0,0,7
LGPL or Ruby,3,0,0,3
EUPL 1.1,25,0,0,25
GNU GENERAL PUBLIC LICENSE Version 2 June 1991,0,0,1,1
AGPL-V3,0,0,1,1
Apache License 2.0| fileLICENSE,0,12,0,12
MPL 1.1,4,0,0,4
GPL (&ge; 2.15.1),0,2,0,2
Beer-Ware,0,0,9,9
Please visit https://developers.cloudrail.com/.,1,0,0,1
Copyright 2014 Agnitio,0,0,3,3
https://github.com/kjirou/parry-mongoose/blob/master/LICENSE,0,0,1,1
Custom,1,0,5,6
none (all rights reserved),51,0,0,51
GPL (&ge; 2.2),0,1,0,1
LOL,0,0,3,3
Unlicense / Public Domain,4,0,0,4
SEE LICENSE IN <MIT-LICENSE.txt>,0,0,1,1
i-BP,0,0,6,6
nothing,0,0,1,1
Property of Josh Vanderwillik,0,0,3,3
MITt,0,0,5,5
WEI,1,0,0,1
https://github.com/FezVrasta/bootstrap-material-design/blob/mast,2,0,0,2
Copyright 2013 Joe McIlvain. MIT Licensed.,4,0,0,4
BSD-2-Clause MIT,0,0,2,2
Public Domain (Unliscense),0,0,3,3
s,0,0,1,1
BSD-2 Clause,0,0,3,3
tbd,0,0,1,1
MIT (see readme.md),0,0,4,4
Creative Commons Attribution 3.0 License,9,0,0,9
Anyone can use this for whatever I don't care.,1,0,0,1
GNU GPL 2,3,0,6,9
GNU General Public License 3.0,0,0,6,6
LGPL-2.0,8,0,63,71
© 2016 Huge. All Rights Reserved.,0,0,1,1
Apache License (2.0),4124,0,0,4124
http://www.mozilla.org/MPL/2.0/,0,0,3,3
agpl-3.0,1,0,0,1
vky,0,0,1,1
LGPL (&ge; 3.0),0,2,0,2
Code Project Open License,1,0,0,1
Simplified BSD License,22,0,10,32
(c) Copyright 2015 corey hadden all rights reserved,0,0,151,151
2,42,0,0,42
AML,0,0,19,19
NOT LICENSED,0,0,1,1
Enjoy,1,0,0,1
(MIT AND GPL-3.0),0,0,7,7
Copyright 2015 Agnitio,0,0,21,21
optin license,7,0,0,7
GNU General Public License v3.0,28,0,1,29
MIT,1,10,1515273,1515284
kpratik,1,0,0,1
DLB,1,0,0,1
(MIT AND OFL-1.0),0,0,2,2
GNU V2,11,0,3,14
kato.im,11,0,0,11
Display.xxx,4,0,0,4
AII,0,0,3,3
LicenseRef-streamdataio.license,0,0,1,1
Mozilla Public License version 2.0,7,0,19,26
(Apache-2.0 OR MIT),0,0,65,65
Copyright Centiq Ltd,0,0,1,1
AFL-3.0,2,0,15,17
Apache License V2,0,0,21,21
Dev,0,0,1,1
Copyright (c) 2016 Thinkful Inc.,0,0,10,10
apace,0,0,1,1
MPL-2.0,243,1,6380,6624
(BSD-2-Clause OR MIT OR Apache-2.0),0,0,10,10
propriatry,0,0,103,103
fileLICENSE,0,22,0,22
GPLv3 or NYSL,1,0,0,1
CC3.0,0,0,42,42
nil,2,0,1,3
LGPL V3,0,0,14,14
closed,3,0,5,8
AGPL 3,7,0,31,38
MLP-2.0,0,0,2,2
GNU Public,2,0,0,2
MTI,4,0,31,35
AMPAS,0,0,1,1
bsd4,35,0,0,35
CSL,438,0,0,438
SEE LICENSE IN MIT-LICENSE,0,0,2,2
budong,0,0,1,1
Librato Open License Version 1.0,1,0,0,1
Ruby's license,93,0,0,93
CLOSED,0,0,2,2
Creative Commons by-nc,5,0,0,5
(LGPL-3.0 OR Commercial),0,0,1,1
MIT/Apache-2.0,10,0,29,39
616079491,0,0,1,1
code: MIT fonts: Apache 2.0,0,0,1,1
Kodiak 1.0,0,0,1,1
GNU GPL-3,34,0,0,34
RPL,1,0,0,1
Free to all users,0,0,74,74
thanhnv,0,0,1,1
CC3,0,0,1,1
Ruby (Rub's/GPLv2 dual),2,0,0,2
Mozilla Public Licence version 2,0,0,1,1
EPL-1.0,156,0,354,510
MIT 2-clause BSD,9,0,0,9
(Apache 2.0),0,0,1,1
Free For All,14,0,0,14
haguo,0,0,1,1
Open Source,6,0,1,7
1.0,0,0,19,19
New BSD,108,0,767,875
GnuPG,0,0,1,1
UNTDID (http://www.unece.org/trade/untdid/license.htm),1,0,0,1
The Ruby License,18,0,0,18
GPL (&ge; 2.14),0,1,0,1
nguyenthanglong1991@gmail.com,0,0,4,4
ads,0,0,1,1
whatever,38,0,0,38
(MIT or GPL),0,0,4,4
8888,0,0,2,2
Source: MIT Glyphs/Fonts: SIL Images: CC-By 3.0,2,0,0,2
Copyright Colossal LLC 2015,0,0,2,2
MIT (sailxjx.mit-license.org),0,0,2,2
GNU-GL-2,0,0,22,22
lacosta,0,0,3,3
MPL 2.0,15,0,581,596
MIT and LGPL,0,0,9,9
SimPL-2.0,1,0,0,1
Wrapbootstrap,0,0,1,1
You want it?  It's yours.,16,0,0,16
MTG,0,0,1,1
Mozilla Public License v2.0 (https://www.mozilla.org/MPL/2.0/),4,0,0,4
APL2.0,5,0,0,5
Same with Ruby,1,0,0,1
MIT AND Apache-2.0 AND OFL-1.1 AND CC0-1.0,0,0,85,85
CC Attribution Non-Commercial,2,0,0,2
Concurix,0,0,1,1
AD,1,0,0,1
SEE LICENCE IN README.md,0,0,23,23
MSI,0,0,2,2
GNU General Public License Version 2,0,0,4,4
At your own risk.,0,0,2,2
meiyou,0,0,2,2
Expat (also known as MIT),3,0,0,3
MIT see LICENSE.md for details,0,0,6,6
Research License 1.0,0,0,1,1
minitest,14,0,0,14
MIST,0,0,2,2
MPL2.0/LGPLv3,30,0,0,30
GPLv2+,110,0,57,167
GNU GPL v2.0,31,0,32,63
PayPal License,1,0,0,1
Copyright © 2015 Chloi Inc.,0,0,1,1
AnEstuary,1,0,0,1
VAX,0,0,3,3
Appcelerator Proprietary and Confidential,0,0,51,51
MIT-LICENSE,394,0,6,400
Additor License,0,0,229,229
SGI-B-2.0,0,0,4,4
PostgreSQL,3,0,9,12
GLP3,0,0,1,1
ZX,0,0,3,3
ASL-2.0,0,0,1,1
Creative Commons Attribution-ShareAlike 3.0,1,0,14,15
BTNcafe Solution License,0,0,1,1
code: MIT fonts: SIL OFL 1.1,0,0,5,5
MPL v2,1,0,67,68
Same as Ruby,3,0,0,3
MIT2.0,26,0,0,26
MPL2,23,0,104,127
WTFPL OR ISC,0,0,6,6
wtfpl (wtfpl.net),0,0,12,12
All rights reserved Stanford University.,43,0,0,43
MIT Copyright 2016 Ruslan Ledesma Garza,1,0,0,1
GPL2.0,0,0,23,23
act-func,1,0,0,1
AMI_KMITL,0,0,1,1
LEAN,1,0,0,1
MIT or GPL,0,0,1,1
ogl,3,0,0,3
Modified University of Illinois/NCSA,7,0,0,7
DBC,5,0,0,5
Chromium/Apache,0,0,1,1
GPL-2|GPL-3|MIT+ fileLICENSE,0,1,0,1
x03231,0,0,1,1
(GPL-3.0 OR MIT),0,0,19,19
MIT+BSD Dual License,0,0,22,22
no,0,0,7,7
GPL Apache,0,0,2,2
SEE LICENSE IN xml4jquery.js,0,0,3,3
LICENSE.TXT,0,0,2,2
CC-NC,0,0,4,4
CC-BY-SA 3.0,5,0,0,5
FMF,0,0,3,3
asdasd,0,0,1,1
SEE LICENSE IN LICENSE.md,0,0,3105,3105
OneFlow Master,0,0,4,4
MIT LICENSE,1,0,4,5
GPL-3+ fileLICENSE,0,22,0,22
c) Poul-Henning Kamp (BSD-2-Clause,1,0,0,1
Sitecore,0,0,4,4
BSD-212,0,0,1,1
No License,72,0,42,114
GPL Affero,0,0,1,1
GPL OR Commercial,0,0,3,3
DWTFYW,1,0,6,7
Creative Commons Zero v1.0 Universal,0,0,1,1
GPL Lv3,9,0,0,9
CC BY-NC-SA 4.0. 2015,1,0,0,1
LGPL 2.1 or later,16,0,0,16
ApacheV2,7,0,48,55
NYCDA,1,0,0,1
Nope,0,0,1,1
App Orchard,6,0,0,6
SEE LICENSE.txt,0,0,4,4
Proprietary / Closed Source,0,0,17,17
The Apache Software License Version 2.0,3,0,0,3
MTIIT,0,0,1,1
GPL-3|GPL-2,0,1,0,1
Apach-2.0,0,0,1,1
NTLong,0,0,4,4
GNU-GPLv3,0,0,1,1
Mine.,0,0,1,1
Copyright (c) 2014 FeedHenry Ltd All Rights Reserved.,0,0,435,435
WTFPL <http://www.wtfpl.net/>,0,0,3,3
Mamidwar,2,0,0,2
AVL2,0,0,1,1
Atomic Game Engine EULA,0,0,1,1
Floctory,9,0,0,9
Beer or money,0,0,11,11
SIL,0,0,3,3
GNU 3,0,0,23,23
BipCot.org,0,0,1,1
60sky,0,0,1,1
GPL v2.1,11,0,0,11
Copyright (c) CloudWalk,20,0,0,20
GPL-2.0 AND MIT,0,0,2,2
Beta access license see LICENSE.TXT,0,0,16,16
LGPLv3,522,0,763,1285
https://github.com/lujintan/filefactory/blob/master/LICENSE,0,0,6,6
CC BY-NC-SA,4,0,65,69
ANY LICENSE YOU WANT,0,0,1,1
WTFPL 2,0,0,23,23
wahaha,0,0,7,7
Python-2.0,0,0,1,1
AS IS,1,0,4,5
{$substance}ware,0,0,1,1
MPLV2,0,0,6,6
(MIT AND Apache-2.0),0,0,15,15
COIL,3,0,0,3
WTFPL (http://www.wtfpl.net/),0,0,6,6
Public Domain (CC0),59,0,0,59
GPL-2.0,1849,0,5520,7369
Botpress,0,0,1,1
CPAL 1.0,0,0,12,12
GPL3.0+,0,0,5,5
1.2,0,0,6,6
Git-Commit,0,0,1,1
beerware license,1,0,0,1
Apache License 2.0,913,42,1350,2305
ACM| fileLICENSE,0,4,0,4
CC BY ND,0,0,2,2
Apache-2.0.0,0,0,15,15
MIT/X11,8,0,1310,1318
Unlicense (see http://unlicense.org/),0,0,5,5
MPL-1.1 AND GPL-2.0 AND LGPL-2.1,0,0,1,1
AppNeta Open License Version 1.0,74,0,0,74
LICESE,0,0,8,8
MIT GPL-2.0,0,0,1,1
Do whatever you want with it.,0,0,4,4
Other/Proprietary,0,0,1,1
LGPL 3.0,13,0,182,195
ISC OR MIT OR Apache-2.0,0,0,5,5
https://github.com/decoded4620/argumints/LICENSE.TXT,0,0,13,13
NM,0,0,1,1
Apache-v2.0,1,0,81,82
laskjdf,0,0,1,1
StrongLoop,0,0,2,2
BSD Revised,0,0,1,1
Ruby ISC 2-clause BSD,2,0,0,2
http://smooch.io/terms.html,0,0,14,14
to me,0,0,1,1
BSD (3-Clause),5,0,0,5
Common Public License 1.0,0,0,4,4
MIT-like,22,0,0,22
xiaochen1101314,0,0,1,1
Apache v2,145,0,454,599
LSC,0,0,3,3
Unknow for the moment,1,0,0,1
GNU GPLv2,0,0,37,37
licenses/GPL-3.0,0,0,31,31
Manywho License Version 1.0,3,0,0,3
GPL-3.0,2617,0,19447,22064
Creative Commons MIT,0,0,14,14
Attribution-NonCommercial,0,0,3,3
0.0.3,0,0,4,4
Copyright 2016,0,0,1414,1414
DWTFYW License,0,0,5,5
Copyright BeauCoo Technologies Inc. 2013,0,0,3,3
LGPL/EPL,0,0,3,3
NGB,1,0,0,1
JLMK,0,0,1,1
ISC (http://www.isc.org/software/license),0,0,13,13
StrongLoop License Agreement,0,0,6,6
SEE LICENSE IN <LICENSE>,0,0,142,142
LGPL v3,23,0,69,92
MIT AND Apache-2.0,0,0,2,2
Takeshi Horinouchi,3,0,0,3
GNU GPL v3,9,0,122,131
Shen License and MIT License. See README.md for details.,8,0,0,8
APL v2,0,0,2,2
Artistic_2_0,1,0,0,1
Scott Fleckenstein and Tom Preston-Werner,1,0,0,1
Research Testing,0,0,36,36
GPL-2|GPL-3[expanded from: GPL (&ge; 2)],0,3494,0,3494
GNUP,0,0,17,17
GNU General Public License V3,1,0,0,1
PLUGIN_LICENSE,0,0,1,1
GNU Lesser General Public License,0,0,4,4
boonya1990-20?,0,0,1,1
RCA,0,0,3,3
Kasual Business all rights reserved.,2,0,0,2
lexhamenglishbible.com/license,0,0,1,1
CC Attribution-NonCommercial-NoDerivatives 4.0 International,2,0,0,2
licenses,2,0,0,2
CeCILL-2|GPL-2,0,1,0,1
Free for non-commercial use,0,0,9,9
(MIT OR ISC),0,0,1,1
IATA,0,0,4,4
scyan,0,0,2,2
Groupon Inc,4,0,0,4
Private Property,0,0,1,1
MIT BSD MOUSE,0,0,10,10
MIT OR Apache-2.0,20,0,0,20
General Public License,0,0,17,17
OLO,1,0,0,1
GPL-2|GPL-3[expanded from: GPL] (see fileLICENSE),0,1,0,1
CC BY-ND 4.0,0,0,8,8
www.highcharts.com/license,0,0,8,8
2013-2016,0,0,14,14
MPL GPL or LGPL,0,0,5,5
http://creativecommons.org/licenses/by/4.0/,0,0,1,1
fileLICENCE,0,1,0,1
GPL 2.0,18,0,60,78
UNSPECIFIED,3,0,0,3
OSC,0,0,3,3
Artistic-2.0,34,71,788,893
Moblor,0,0,22,22
MIT/Bitcoin/BLM,0,0,3,3
LGPL-3.0 AND MIT,0,0,6,6
PDDL-1.0,0,0,33,33
ISC / GPL / MIT,0,0,45,45
Sunil,4,0,0,4
GPL-2|GPL-3| fileLICENSE,0,1,0,1
CECILL-B,3,0,75,78
GNU Public License 2,0,0,2,2
MIT + GPL-3.0+ Dual License,0,0,6,6
MIT or LGPL (your choice),0,0,5,5
minimist,0,0,6,6
APGLv3,0,0,2,2
(GPL-3.0 or Commercial see license in license.md(,0,0,1,1
MIT License.,0,0,2,2
f,0,0,3,3
Zlib,41,0,289,330
2-clause BSD License,24,0,0,24
bSD,0,0,3,3
APACHE LICENSE 2.0,2,0,0,2
Add a license,6,0,0,6
(LGPL-2.0 OR GPL-2.0),0,0,3,3
http://mariusrunge.com/mit-licence.html,0,0,2,2
MIT/GLPv2,20,0,0,20
CC BY-NC-SA 4.0,0,20,12,32
AFL,13,0,0,13
TBWL,0,0,2,2
MIT OR GPL-3.0+,0,0,3,3
Use + Distribution on any type of projects,0,0,3,3
Bakcha Company,0,0,1,1
http://www.apache.org/licenses/LICENSE-2.0.txt,350,0,6,356
SEE LICENSE IN LICENSE.MD,0,0,14,14
AGPL-1.0,17,0,253,270
kh,0,0,1,1
bsd-3-clause,21,0,0,21
 Apache-2.0,0,0,113,113
Zlib OR MIT OR Apache-2.0,0,0,1,1
SAX-PD,0,0,18,18
MIT EPL,0,0,703,703
GNUv2,0,0,11,11
Proprietary (for now),1,0,0,1
Cornell,6,0,0,6
SimPL,0,0,1,1
LGPLv3+,61,0,5,66
MIT License. Copyright First Rally. All rights reserved.,0,0,1,1
MIT+Apache+OFL+PD,0,0,24,24
Apache 2.0/MIT Dual Licensed,0,0,1,1
Woody Guthrie free culture,1,0,0,1
BSD 3-clause License+ fileLICENSE,0,2,0,2
Public Domain. See LICENSE.md.,2,0,0,2
SIL Open Font License 1.1,0,0,3,3
Open Works License,1,0,0,1
CC-BY-ND-4.0,1,0,26,27
Do what You want,0,0,5,5
LICENSE,152,0,50,202
ALL RIGHTS RESERVED,1,0,2,3
Tingyun,12,0,0,12
LICENSE.md,0,0,14,14
Void,0,0,1,1
https://github.com/appium/appium_twine/blob/master/LICENSE,1,0,0,1
R1 API License Agreement,0,0,6,6
Licence MIT,1,0,0,1
See LICENSE.MD,0,0,3,3
GNU LGPL v3.0,4,0,4,8
2-clause BSDL,50,0,0,50
bai,0,0,1,1
http://wtfpl.org,0,0,2,2
Apache 2,872,0,3531,4403
GPL-2|GPL-3[expanded from: GNU General Public License (&ge; 2)],0,1,0,1
Apache License (== 2.0),0,29,0,29
Public Domain (see LICENSE.txt),1,0,0,1
BSD License,1,0,27,28
UB,0,0,11,11
Artistic License,1,0,4,5
ACE,4,0,0,4
RISA,0,0,3,3
Apache 0.2,0,0,36,36
Equivilent to emojidex-toolkit,3,0,0,3
Apache Licence 2.0,31,0,15,46
GPL 3,33,0,39,72
CC0,221,98,756,1075
(GPL-3.0 OR LGPL-3.0 OR MPL-2.0),0,0,4,4
FREE,0,0,10,10
Apache Version 2.0,5,0,331,336
(GPLv2 & MIT),0,0,2,2
Public-Domain,0,0,2,2
CC-BY,6,0,443,449
http://wayne-fu.blogspot.com/,0,0,2,2
MIT / CC-BY-SA 3.0,0,0,15,15
Not specified,1,0,0,1
 AGPL-3.0,0,0,8,8
(Apache-2.0 AND CC-BY-SA-4.0),0,0,11,11
Unlicence,1,0,186,187
GPL-2.0 for non-commercial,0,0,71,71
Unlicense,316,0,5559,5875
ASL v2,1,0,0,1
CC-BY-3.0,12,0,1238,1250
mit +no-false-attribs +no-advertising license,0,0,35,35
LGPL-3,852,89,16,957
AGPL-3.0+,11,0,136,147
EPL-1.0 OR BSD-3-Clause,0,0,1,1
https://github.com/lujintan/clitoolkit/blob/master/LICENSE,0,0,12,12
Big Boss Man,1,0,0,1
GNU Public License Version 3,6,0,0,6
GNU/GPLv3,133,0,0,133
GNU GPL v3 and AGPL v3,1,0,0,1
(GPL-2.0 OR LGPL-2.1 OR MPL-1.1),0,0,20,20
123456,0,0,1,1
DMF v0.1,0,0,3,3
FreeBSD|GPL-2| fileLICENSE,0,1,0,1
????,1,0,0,1
BSDL,5,0,0,5
http://creativecommons.org/licenses/by/3.0/,0,0,4,4
SEE LICENSE IN LICENSE/ FOLDER,0,0,22,22
LGPL 2.1+,0,0,4,4
MIT (templates may have different licenses),1,0,0,1
MICROSOFT SOFTWARE LICENSE,1,0,0,1
Unlimited,0,54,0,54
(MIT or Apache2),0,0,5,5
SpinalCom Free Software License Agreement,0,0,19,19
Apache License version 2.,3,0,0,3
ALv2.0,0,0,19,19
http://www.mozilla.org/MPL/2.0/index.txt,1,0,0,1
MIT/APACHE,0,0,5,5
CC-BY-NC-ND-3.0,0,0,6,6
LGPL.v3,6,0,14,20
APACHE2_0,20,0,64,84
GNU Affero GPL 3.0,0,0,1,1
Stanford University,163,0,0,163
SEE LICENCE IN LICENSE FILE,0,0,1,1
Trial,0,0,1,1
Commercial Proprietary,2,0,0,2
to rock,0,0,1,1
MCSolutions,0,0,1,1
Tencent,0,0,1,1
KnoticeLtd,3,0,0,3
Eclipse Public License version 1.0,1,0,0,1
https://github.com/CloudMade/Leaflet/blob/master/LICENSE,0,0,1,1
(WTFPL OR MIT),0,0,8,8
CC0 1.0 Universal,1,0,34,35
Public Domain <Unlicense>,0,0,6,6
martiniware,0,0,20,20
APLv2 / MIT,0,0,6,6
Fukang,1,0,0,1
na,0,0,6,6
MINT,0,0,1,1
Copyright (c) 2015 Sophicware,1,0,0,1
BSD-3-Clause-LBNL,0,0,72,72
APSL-2.0,3,0,110,113
Copyright (c) 2017 GreenSock.,2,0,0,2
Same As Ruby's,18,0,0,18
TI,2,0,0,2
{},0,0,4,4
The MIT License Copyright (c) 2013 by David Jensen,0,0,2,2
CC-0,0,0,23,23
2016-2016,0,0,124,124
LGPL-3(see fileLICENSE),0,1,0,1
http://www.lixiucheng.com,0,0,1,1
(Zlib OR MIT OR Apache-2.0),0,0,76,76
LPGL3,0,0,14,14
(MIT OR GPL),0,0,1,1
The BSD License,24,0,0,24
Secure Cloud Storage,4,0,0,4
LGPL-2.1| fileLICENSE,0,4,0,4
GitDock Oy,5,0,0,5
Use: WTFPL Contribute: Dojo CLA,0,0,9,9
(MIT OR CC-BY-NC-SA-4.0),0,0,6,6
SUV,4,0,0,4
Artistic,45,0,0,45
LGPL (&ge; 3),0,30,0,30
GPL V3.0,0,0,7,7
Mine,1,0,0,1
Creative-Commons Share-Alike Attribution License,0,0,2,2
gnu,0,0,7,7
LGPL3,131,0,70,201
WTFGPL,0,0,9,9
nginx,14,0,0,14
Apache License 2.,0,0,3,3
MI,0,0,7,7
MIT X11 License,0,0,1,1
Apache License version 2,0,0,2,2
GNU 2.0,4,0,0,4
SIL Open Font,1,0,0,1
ICS,1,0,64,65
Whatever.,2,0,0,2
GNU GPL v2 or later,2,0,0,2
TEMP,0,0,1,1
UCSD,0,0,2,2
Apache (2.0),0,0,2,2
The MIT License.,2,0,0,2
UTn,0,0,2,2
OpenSource,0,0,3,3
R2CORBA,3,0,0,3
Copyright 2013 AgileWings,18,0,0,18
BSD-2-Clauseno,0,0,3,3
BSD-2-Clause-FreeBSD,12,0,276,288
 CC BY-NC-SA 4.0,1,0,0,1
WYWTPL,0,0,3,3
ECMA,0,0,8,8
FSM,0,0,1,1
Academic Free License (AFL) v. 3.0,2,0,0,2
Beerware v42,3,0,0,3
wfzljy 2.0,0,0,1,1
MIT (ricardo.mit-license.org),0,0,51,51
hello world,0,0,1,1
IDC,6,0,6,12
https://github.com/gunjandatta/sprest/blob/master/LICENSE,0,0,107,107
No Licens,0,0,1,1
GNU LGPL,11,0,16,27
SEE LICENSE IN epl-v10,0,0,8,8
Creative Commons Attribution 3.0 Unported License,3,0,42,45
APACHEv2,0,0,6,6
Simplified BSD-3,0,0,35,35
to milk,0,0,1,1
CC BY 4.0,13,2,34,49
CHAI,0,0,1,1
QE,0,0,2,2
Copyright 2015 Peter Lyons LLC,0,0,2,2
MIT*,0,0,1,1
ligle,0,0,2,2
mixed,0,0,2,2
ACM,0,2,0,2
(LGPL),0,0,1,1
hypothetical,0,0,1,1
Apacache License 2.0,0,0,5,5
NCI,1,0,0,1
